participant_id,n_trials,conditions,v_left_mean,v_left_std,v_left_min,v_left_max,v_right_mean,v_right_std,v_right_min,v_right_max
0.0,940,"[np.float64(2.0), np.float64(1.0), np.float64(3.0), np.float64(0.0)]",1.6844,0.6827,1.0333,2.4958,1.9116,0.5288,1.3571,2.5109
1.0,946,"[np.float64(3.0), np.float64(1.0), np.float64(2.0), np.float64(0.0)]",1.3472,0.4095,0.9323,1.8104,2.384,0.0314,2.295,2.4792
2.0,931,"[np.float64(2.0), np.float64(3.0), np.float64(0.0), np.float64(1.0)]",1.6385,0.8646,0.7455,2.5659,1.6263,0.7857,0.8536,2.5068
3.0,924,"[np.float64(0.0), np.float64(3.0), np.float64(2.0), np.float64(1.0)]",1.7979,0.7845,0.9867,2.6543,1.7988,0.6784,1.1382,2.5865
4.0,938,"[np.float64(3.0), np.float64(2.0), np.float64(1.0), np.float64(0.0)]",2.3121,1.3934,0.9049,3.7667,2.461,1.2604,1.1702,3.7808
5.0,951,"[np.float64(2.0), np.float64(1.0), np.float64(3.0), np.float64(0.0)]",2.1852,0.4882,1.6699,2.7469,2.0516,0.6179,1.4321,2.7758
6.0,952,"[np.float64(2.0), np.float64(0.0), np.float64(1.0), np.float64(3.0)]",2.4746,0.7305,1.7583,3.3102,2.6457,0.5739,2.0854,3.3168
7.0,951,"[np.float64(0.0), np.float64(2.0), np.float64(3.0), np.float64(1.0)]",1.8074,0.1899,1.5704,2.0826,2.2285,0.0997,2.0473,2.4142
8.0,922,"[np.float64(0.0), np.float64(1.0), np.float64(3.0), np.float64(2.0)]",1.0161,0.3867,0.6351,1.4803,2.0524,0.0449,1.9197,2.1839
9.0,949,"[np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]",2.3905,1.117,1.2902,3.5868,3.4102,0.2607,3.0891,3.7501
10.0,944,"[np.float64(2.0), np.float64(1.0), np.float64(0.0), np.float64(3.0)]",1.3694,0.6505,0.6891,2.0936,1.4622,0.5439,0.8872,2.0794
11.0,886,"[np.float64(2.0), np.float64(3.0), np.float64(0.0), np.float64(1.0)]",0.7678,0.1052,0.6599,0.8937,1.92,0.1133,1.7201,2.1399
12.0,930,"[np.float64(3.0), np.float64(2.0), np.float64(0.0), np.float64(1.0)]",0.8558,0.0441,0.8091,0.9186,1.9213,0.2292,1.6103,2.2427
